case,scope,level,requested_dbu,requested_um,length_idx,aligned_um,delta_um,abs_delta_um,rel_error_ratio,full_leaf_level,wirelength_unit_um,unit_res_ohm_per_um,unit_cap_pf_per_um,extra_res_ohm,extra_cap_pf,detail_path,segment_pattern_id,buffer_count,weighted_buffer_count,branch_multiplicity_from_buffers,terminal_branch_buffer,selected_leaf_level
iwls2005__des,full,2,24467,24.467,1,48.016,23.549,23.549,0.9625,false,48.016,0.914,0.0002007,21.523786,0.0047262842999999995,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__des/cts_baseline/cts/ecc-tools/des/work/icts-native/cts_detail.log,,,,,,
iwls2005__des,full,3,13607,13.607,1,48.016,34.409,34.409,2.5288,true,48.016,0.914,0.0002007,31.449826,0.0069058863,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__des/cts_baseline/cts/ecc-tools/des/work/icts-native/cts_detail.log,,,,,,
iwls2005__des,selected,0,,99.454,3,144.048,44.594,44.594,0.4484,,48.016,0.914,0.0002007,40.758916,0.0089500158,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__des/cts_baseline/cts/ecc-tools/des/work/icts-native/cts_detail.log,25,1,1,1.0,false,false
iwls2005__des,selected,1,,49.234,2,96.032,46.798,46.798,0.9505,,48.016,0.914,0.0002007,42.773372,0.009392358600000001,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__des/cts_baseline/cts/ecc-tools/des/work/icts-native/cts_detail.log,6,1,4,4.0,false,false
iwls2005__des,selected,2,,24.467,1,48.016,23.549,23.549,0.9625,,48.016,0.914,0.0002007,21.523786,0.0047262842999999995,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__des/cts_baseline/cts/ecc-tools/des/work/icts-native/cts_detail.log,1,1,16,16.0,true,true
iwls2005__des,source_trunk,-1,,240.08,5,240.07999999999998,-2.842170943040401e-14,2.842170943040401e-14,-1.183843278507331e-16,,48.016,0.914,0.0002007,-2.5977442419389264e-14,-5.704237082682084e-18,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__des/cts_baseline/cts/ecc-tools/des/work/icts-native/cts_detail.log,,,,,,
iwls2005__mem_ctrl,full,0,66478,66.478,2,82.0245,15.5465,15.5465,0.2339,false,41.0123,0.914,0.0002007,14.209501000000001,0.00312018255,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__mem_ctrl/cts_baseline/cts/ecc-tools/mc_top/work/icts-native/cts_detail.log,,,,,,
iwls2005__mem_ctrl,full,1,33441,33.441,1,41.0123,7.5712,7.5712,0.22640000000000002,false,41.0123,0.914,0.0002007,6.9200768,0.00151953984,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__mem_ctrl/cts_baseline/cts/ecc-tools/mc_top/work/icts-native/cts_detail.log,,,,,,
iwls2005__mem_ctrl,full,2,16133,16.133,1,41.0123,24.8793,24.8793,1.5421,true,41.0123,0.914,0.0002007,22.739680200000002,0.00499327551,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__mem_ctrl/cts_baseline/cts/ecc-tools/mc_top/work/icts-native/cts_detail.log,,,,,,
iwls2005__mem_ctrl,selected,0,,66.478,2,82.0245,15.5465,15.5465,0.2339,,41.0123,0.914,0.0002007,14.209501000000001,0.00312018255,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__mem_ctrl/cts_baseline/cts/ecc-tools/mc_top/work/icts-native/cts_detail.log,8,1,1,1.0,false,false
iwls2005__mem_ctrl,selected,1,,33.441,1,41.0123,7.5712,7.5712,0.22640000000000002,,41.0123,0.914,0.0002007,6.9200768,0.00151953984,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__mem_ctrl/cts_baseline/cts/ecc-tools/mc_top/work/icts-native/cts_detail.log,3,1,4,4.0,true,true
iwls2005__mem_ctrl,source_trunk,-1,,164.049,4,164.0492,0.0002000000000066393,0.0002000000000066393,1.2191479375469483e-06,,41.0123,0.914,0.0002007,0.00018280000000606833,4.014000000133251e-08,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__mem_ctrl/cts_baseline/cts/ecc-tools/mc_top/work/icts-native/cts_detail.log,,,,,,
iwls2005__pci,full,0,109066,109.066,5,130.241,21.175,21.175,0.1941,false,26.0482,0.914,0.0002007,19.35395,0.0042498225,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__pci/cts_baseline/cts/ecc-tools/pci_bridge32/work/icts-native/cts_detail.log,,,,,,
iwls2005__pci,full,1,48624,48.624,2,52.0964,3.4724,3.4724,0.07139999999999999,false,26.0482,0.914,0.0002007,3.1737736,0.00069691068,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__pci/cts_baseline/cts/ecc-tools/pci_bridge32/work/icts-native/cts_detail.log,,,,,,
iwls2005__pci,full,2,30123,30.123,2,52.0964,21.9734,21.9734,0.7295,false,26.0482,0.914,0.0002007,20.0836876,0.00441006138,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__pci/cts_baseline/cts/ecc-tools/pci_bridge32/work/icts-native/cts_detail.log,,,,,,
iwls2005__pci,full,3,17193,17.193,1,26.0482,8.8552,8.8552,0.515,true,26.0482,0.914,0.0002007,8.093652800000001,0.00177723864,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__pci/cts_baseline/cts/ecc-tools/pci_bridge32/work/icts-native/cts_detail.log,,,,,,
iwls2005__pci,selected,0,,109.066,5,130.241,21.175,21.175,0.1941,,26.0482,0.914,0.0002007,19.35395,0.0042498225,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__pci/cts_baseline/cts/ecc-tools/pci_bridge32/work/icts-native/cts_detail.log,27,1,1,1.0,false,false
iwls2005__pci,selected,1,,48.624,2,52.0964,3.4724,3.4724,0.07139999999999999,,26.0482,0.914,0.0002007,3.1737736,0.00069691068,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__pci/cts_baseline/cts/ecc-tools/pci_bridge32/work/icts-native/cts_detail.log,12,1,4,4.0,true,false
iwls2005__pci,selected,2,,30.123,2,52.0964,21.9734,21.9734,0.7295,,26.0482,0.914,0.0002007,20.0836876,0.00441006138,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__pci/cts_baseline/cts/ecc-tools/pci_bridge32/work/icts-native/cts_detail.log,12,1,16,16.0,true,true
iwls2005__pci,source_trunk,-1,,130.241,5,130.241,0.0,0.0,0.0,,26.0482,0.914,0.0002007,0.0,0.0,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__pci/cts_baseline/cts/ecc-tools/pci_bridge32/work/icts-native/cts_detail.log,,,,,,
iwls2005__sasc,full,0,21404,21.404,2,38.2387,16.8347,16.8347,0.7865000000000001,false,19.1193,0.914,0.0002007,15.386915800000002,0.00337872429,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__sasc/cts_baseline/cts/ecc-tools/sasc_top/work/icts-native/cts_detail.log,,,,,,
iwls2005__sasc,full,1,10683,10.683,1,19.1193,8.4363,8.4363,0.7897,true,19.1193,0.914,0.0002007,7.7107782,0.0016931654099999998,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__sasc/cts_baseline/cts/ecc-tools/sasc_top/work/icts-native/cts_detail.log,,,,,,
iwls2005__sasc,selected,0,,21.404,2,38.2387,16.8347,16.8347,0.7865000000000001,,19.1193,0.914,0.0002007,15.386915800000002,0.00337872429,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__sasc/cts_baseline/cts/ecc-tools/sasc_top/work/icts-native/cts_detail.log,9,1,1,1.0,false,false
iwls2005__sasc,selected,1,,10.683,1,19.1193,8.4363,8.4363,0.7897,,19.1193,0.914,0.0002007,7.7107782,0.0016931654099999998,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__sasc/cts_baseline/cts/ecc-tools/sasc_top/work/icts-native/cts_detail.log,3,1,4,4.0,true,true
iwls2005__sasc,source_trunk,-1,,57.358,3,57.3579,-9.999999999621423e-05,9.999999999621423e-05,-1.7434359635310547e-06,,19.1193,0.914,0.0002007,-9.139999999653981e-05,-2.0069999999240195e-08,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__sasc/cts_baseline/cts/ecc-tools/sasc_top/work/icts-native/cts_detail.log,,,,,,
iwls2005__simple_spi,full,0,22564,22.564,2,42.236,19.672,19.672,0.8718,false,21.118,0.914,0.0002007,17.980208,0.0039481704,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__simple_spi/cts_baseline/cts/ecc-tools/simple_spi_top/work/icts-native/cts_detail.log,,,,,,
iwls2005__simple_spi,full,1,10145,10.145,1,21.118,10.973,10.973,1.0816,true,21.118,0.914,0.0002007,10.029322,0.0022022811,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__simple_spi/cts_baseline/cts/ecc-tools/simple_spi_top/work/icts-native/cts_detail.log,,,,,,
iwls2005__simple_spi,selected,0,,22.564,2,42.236,19.672,19.672,0.8718,,21.118,0.914,0.0002007,17.980208,0.0039481704,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__simple_spi/cts_baseline/cts/ecc-tools/simple_spi_top/work/icts-native/cts_detail.log,12,1,1,1.0,true,true
iwls2005__simple_spi,source_trunk,-1,,63.354,3,63.354,0.0,0.0,0.0,,21.118,0.914,0.0002007,0.0,0.0,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__simple_spi/cts_baseline/cts/ecc-tools/simple_spi_top/work/icts-native/cts_detail.log,,,,,,
iwls2005__spi,full,0,39610,39.61,2,50.2073,10.5973,10.5973,0.2675,false,25.1037,0.914,0.0002007,9.685932200000002,0.00212687811,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__spi/cts_baseline/cts/ecc-tools/spi_top/work/icts-native/cts_detail.log,,,,,,
iwls2005__spi,full,1,17236,17.236,1,25.1037,7.8677,7.8677,0.45649999999999996,true,25.1037,0.914,0.0002007,7.1910778,0.00157904739,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__spi/cts_baseline/cts/ecc-tools/spi_top/work/icts-native/cts_detail.log,,,,,,
iwls2005__spi,selected,0,,39.61,2,50.2073,10.5973,10.5973,0.2675,,25.1037,0.914,0.0002007,9.685932200000002,0.00212687811,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__spi/cts_baseline/cts/ecc-tools/spi_top/work/icts-native/cts_detail.log,9,1,1,1.0,false,false
iwls2005__spi,selected,1,,17.236,1,25.1037,7.8677,7.8677,0.45649999999999996,,25.1037,0.914,0.0002007,7.1910778,0.00157904739,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__spi/cts_baseline/cts/ecc-tools/spi_top/work/icts-native/cts_detail.log,2,1,4,4.0,true,true
iwls2005__spi,source_trunk,-1,,75.311,3,75.3111,9.99999999891088e-05,9.99999999891088e-05,1.3278272760832918e-06,,25.1037,0.914,0.0002007,9.139999999004545e-05,2.0069999997814136e-08,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__spi/cts_baseline/cts/ecc-tools/spi_top/work/icts-native/cts_detail.log,,,,,,
iwls2005__ss_pcm,full,0,16957,16.957,2,31.356,14.399,14.399,0.8491,false,15.678,0.914,0.0002007,13.160686,0.0028898793,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__ss_pcm/cts_baseline/cts/ecc-tools/pcm_slv_top/work/icts-native/cts_detail.log,,,,,,
iwls2005__ss_pcm,full,1,8283,8.283,1,15.678,7.395,7.395,0.8928,true,15.678,0.914,0.0002007,6.75903,0.0014841765,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__ss_pcm/cts_baseline/cts/ecc-tools/pcm_slv_top/work/icts-native/cts_detail.log,,,,,,
iwls2005__ss_pcm,selected,0,,16.957,2,31.356,14.399,14.399,0.8491,,15.678,0.914,0.0002007,13.160686,0.0028898793,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__ss_pcm/cts_baseline/cts/ecc-tools/pcm_slv_top/work/icts-native/cts_detail.log,8,1,1,1.0,false,true
iwls2005__ss_pcm,source_trunk,-1,,47.034,3,47.034000000000006,7.105427357601002e-15,7.105427357601002e-15,1.5107002078498538e-16,,15.678,0.914,0.0002007,6.494360604847316e-15,1.426059270670521e-18,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__ss_pcm/cts_baseline/cts/ecc-tools/pcm_slv_top/work/icts-native/cts_detail.log,,,,,,
iwls2005__systemcaes,full,0,69775,69.775,2,83.198,13.423,13.423,0.1924,false,41.599,0.914,0.0002007,12.268622,0.0026939961,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__systemcaes/cts_baseline/cts/ecc-tools/aes/work/icts-native/cts_detail.log,,,,,,
iwls2005__systemcaes,full,1,31113,31.113,1,41.599,10.486,10.486,0.337,false,41.599,0.914,0.0002007,9.584204000000001,0.0021045402000000003,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__systemcaes/cts_baseline/cts/ecc-tools/aes/work/icts-native/cts_detail.log,,,,,,
iwls2005__systemcaes,full,2,15568,15.568,1,41.599,26.031,26.031,1.6721000000000001,true,41.599,0.914,0.0002007,23.792334,0.0052244217,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__systemcaes/cts_baseline/cts/ecc-tools/aes/work/icts-native/cts_detail.log,,,,,,
iwls2005__systemcaes,selected,0,,69.775,2,83.198,13.423,13.423,0.1924,,41.599,0.914,0.0002007,12.268622,0.0026939961,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__systemcaes/cts_baseline/cts/ecc-tools/aes/work/icts-native/cts_detail.log,8,1,1,1.0,false,false
iwls2005__systemcaes,selected,1,,31.113,1,41.599,10.486,10.486,0.337,,41.599,0.914,0.0002007,9.584204000000001,0.0021045402000000003,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__systemcaes/cts_baseline/cts/ecc-tools/aes/work/icts-native/cts_detail.log,3,1,4,4.0,true,true
iwls2005__systemcaes,source_trunk,-1,,166.396,4,166.396,0.0,0.0,0.0,,41.599,0.914,0.0002007,0.0,0.0,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__systemcaes/cts_baseline/cts/ecc-tools/aes/work/icts-native/cts_detail.log,,,,,,
iwls2005__systemcdes,full,0,30631,30.631,2,60.2173,29.5863,29.5863,0.9659,false,30.1087,0.914,0.0002007,27.041878200000003,0.00593797041,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__systemcdes/cts_baseline/cts/ecc-tools/des/work/icts-native/cts_detail.log,,,,,,
iwls2005__systemcdes,full,1,15767,15.767,1,30.1087,14.3417,14.3417,0.9096,true,30.1087,0.914,0.0002007,13.1083138,0.00287837919,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__systemcdes/cts_baseline/cts/ecc-tools/des/work/icts-native/cts_detail.log,,,,,,
iwls2005__systemcdes,selected,0,,30.631,2,60.2173,29.5863,29.5863,0.9659,,30.1087,0.914,0.0002007,27.041878200000003,0.00593797041,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__systemcdes/cts_baseline/cts/ecc-tools/des/work/icts-native/cts_detail.log,8,1,1,1.0,false,true
iwls2005__systemcdes,source_trunk,-1,,90.326,3,90.3261,0.00010000000000331966,0.00010000000000331966,1.1071009455009595e-06,,30.1087,0.914,0.0002007,9.140000000303417e-05,2.0070000000666255e-08,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__systemcdes/cts_baseline/cts/ecc-tools/des/work/icts-native/cts_detail.log,,,,,,
iwls2005__tv80,full,0,50618,50.618,2,51.2275,0.6095,0.6095,0.012,false,25.6137,0.914,0.0002007,0.5570830000000001,0.00012232665,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__tv80/cts_baseline/cts/ecc-tools/tv80s/work/icts-native/cts_detail.log,,,,,,
iwls2005__tv80,full,1,26840,26.84,2,51.2275,24.3875,24.3875,0.9086,false,25.6137,0.914,0.0002007,22.290175,0.00489457125,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__tv80/cts_baseline/cts/ecc-tools/tv80s/work/icts-native/cts_detail.log,,,,,,
iwls2005__tv80,full,2,11859,11.859,1,25.6137,13.7547,13.7547,1.1599,true,25.6137,0.914,0.0002007,12.5717958,0.00276056829,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__tv80/cts_baseline/cts/ecc-tools/tv80s/work/icts-native/cts_detail.log,,,,,,
iwls2005__tv80,selected,0,,50.618,2,51.2275,0.6095,0.6095,0.012,,25.6137,0.914,0.0002007,0.5570830000000001,0.00012232665,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__tv80/cts_baseline/cts/ecc-tools/tv80s/work/icts-native/cts_detail.log,9,1,1,1.0,false,false
iwls2005__tv80,selected,1,,26.84,2,51.2275,24.3875,24.3875,0.9086,,25.6137,0.914,0.0002007,22.290175,0.00489457125,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__tv80/cts_baseline/cts/ecc-tools/tv80s/work/icts-native/cts_detail.log,12,1,4,4.0,true,false
iwls2005__tv80,selected,2,,11.859,1,25.6137,13.7547,13.7547,1.1599,,25.6137,0.914,0.0002007,12.5717958,0.00276056829,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__tv80/cts_baseline/cts/ecc-tools/tv80s/work/icts-native/cts_detail.log,3,1,16,16.0,true,true
iwls2005__tv80,source_trunk,-1,,102.455,4,102.4548,-0.00019999999999242846,0.00019999999999242846,-1.9520765213257377e-06,,25.6137,0.914,0.0002007,-0.00018279999999307962,-4.013999999848039e-08,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__tv80/cts_baseline/cts/ecc-tools/tv80s/work/icts-native/cts_detail.log,,,,,,
iwls2005__usb_funct,full,0,91121,91.121,2,95.6667,4.5457,4.5457,0.0499,false,47.8333,0.914,0.0002007,4.1547698,0.0009123219900000001,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__usb_funct/cts_baseline/cts/ecc-tools/usbf_top/work/icts-native/cts_detail.log,,,,,,
iwls2005__usb_funct,full,1,40051,40.051,1,47.8333,7.7823,7.7823,0.1943,true,47.8333,0.914,0.0002007,7.1130222000000005,0.0015619076100000001,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__usb_funct/cts_baseline/cts/ecc-tools/usbf_top/work/icts-native/cts_detail.log,,,,,,
iwls2005__usb_funct,selected,0,,91.121,2,95.6667,4.5457,4.5457,0.0499,,47.8333,0.914,0.0002007,4.1547698,0.0009123219900000001,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__usb_funct/cts_baseline/cts/ecc-tools/usbf_top/work/icts-native/cts_detail.log,11,1,1,1.0,true,true
iwls2005__usb_funct,source_trunk,-1,,143.5,3,143.4999,-0.00010000000000331966,0.00010000000000331966,-6.968641115213913e-07,,47.8333,0.914,0.0002007,-9.140000000303417e-05,-2.0070000000666255e-08,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__usb_funct/cts_baseline/cts/ecc-tools/usbf_top/work/icts-native/cts_detail.log,,,,,,
iwls2005__usb_phy,full,0,19688,19.688,2,32.8633,13.1753,13.1753,0.6692,false,16.4317,0.914,0.0002007,12.0422242,0.00264428271,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__usb_phy/cts_baseline/cts/ecc-tools/usb_phy/work/icts-native/cts_detail.log,,,,,,
iwls2005__usb_phy,full,1,8948,8.948,1,16.4317,7.4837,7.4837,0.8364,true,16.4317,0.914,0.0002007,6.8401018,0.00150197859,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__usb_phy/cts_baseline/cts/ecc-tools/usb_phy/work/icts-native/cts_detail.log,,,,,,
iwls2005__usb_phy,selected,0,,19.688,2,32.8633,13.1753,13.1753,0.6692,,16.4317,0.914,0.0002007,12.0422242,0.00264428271,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__usb_phy/cts_baseline/cts/ecc-tools/usb_phy/work/icts-native/cts_detail.log,8,1,1,1.0,false,true
iwls2005__usb_phy,source_trunk,-1,,49.295,3,49.2951,9.999999999621423e-05,9.999999999621423e-05,2.0286033065465915e-06,,16.4317,0.914,0.0002007,9.139999999653981e-05,2.0069999999240195e-08,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__usb_phy/cts_baseline/cts/ecc-tools/usb_phy/work/icts-native/cts_detail.log,,,,,,
iwls2005__vga_lcd,full,0,221840,221.84,4,289.5657,67.7257,67.7257,0.3053,false,72.3914,0.914,0.0002007,61.90128980000001,0.01359254799,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__vga_lcd/cts_baseline/cts/ecc-tools/vga_enh_top/work/icts-native/cts_detail.log,,,,,,
iwls2005__vga_lcd,full,1,121807,121.807,2,144.7829,22.9759,22.9759,0.1886,false,72.3914,0.914,0.0002007,20.9999726,0.0046112631299999995,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__vga_lcd/cts_baseline/cts/ecc-tools/vga_enh_top/work/icts-native/cts_detail.log,,,,,,
iwls2005__vga_lcd,full,2,68392,68.392,1,72.3914,3.9994,3.9994,0.058499999999999996,false,72.3914,0.914,0.0002007,3.6554516,0.00080267958,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__vga_lcd/cts_baseline/cts/ecc-tools/vga_enh_top/work/icts-native/cts_detail.log,,,,,,
