case,phase1_latency_avg_delta_ns,candidate_latency_avg_delta_ns,candidate_minus_phase1_latency_avg_delta_ns,phase1_skew_max_delta_ns,candidate_skew_max_delta_ns,candidate_minus_phase1_skew_max_delta_ns,phase1_tree_max_depth_delta,candidate_tree_max_depth_delta,candidate_minus_phase1_tree_max_depth_delta,phase1_timing_clock_stage_avg_delta,candidate_timing_clock_stage_avg_delta,candidate_minus_phase1_timing_clock_stage_avg_delta,phase1_timing_clock_stage_spread_delta,candidate_timing_clock_stage_spread_delta,candidate_minus_phase1_timing_clock_stage_spread_delta,phase1_trunk_wire_length_ratio,candidate_trunk_wire_length_ratio,candidate_minus_phase1_trunk_wire_length_ratio,phase1_leaf_wire_length_ratio,candidate_leaf_wire_length_ratio,candidate_minus_phase1_leaf_wire_length_ratio,phase1_clock_total_cap_ratio,candidate_clock_total_cap_ratio,candidate_minus_phase1_clock_total_cap_ratio,phase1_buffer_count_delta,candidate_buffer_count_delta,candidate_minus_phase1_buffer_count_delta,phase1_htree_selected_depth_minus_innovus_max_depth,candidate_htree_selected_depth_minus_innovus_max_depth,candidate_minus_phase1_htree_selected_depth_minus_innovus_max_depth,phase1_ecc_report_depth_minus_htree_selected_depth,candidate_ecc_report_depth_minus_htree_selected_depth,candidate_minus_phase1_ecc_report_depth_minus_htree_selected_depth,phase1_selected_depth_row_split_groups,candidate_selected_depth_row_split_groups,candidate_minus_phase1_selected_depth_row_split_groups,phase1_selected_depth_row_split_buffers,candidate_selected_depth_row_split_buffers,candidate_minus_phase1_selected_depth_row_split_buffers,phase1_selected_depth_row_split_local_depth,candidate_selected_depth_row_split_local_depth,candidate_minus_phase1_selected_depth_row_split_local_depth,phase1_first_hard_fail_load_count,candidate_first_hard_fail_load_count,candidate_minus_phase1_first_hard_fail_load_count,phase1_first_hard_fail_loads_over_two_level,candidate_first_hard_fail_loads_over_two_level,candidate_minus_phase1_first_hard_fail_loads_over_two_level,phase1_cluster_leaf_mean_distance,candidate_cluster_leaf_mean_distance,candidate_minus_phase1_cluster_leaf_mean_distance,phase1_cluster_leaf_max_distance,candidate_cluster_leaf_max_distance,candidate_minus_phase1_cluster_leaf_max_distance,phase1_cluster_count_minus_min_legal,candidate_cluster_count_minus_min_legal,candidate_minus_phase1_cluster_count_minus_min_legal,phase1_source_segment_selected_buffer_count,candidate_source_segment_selected_buffer_count,candidate_minus_phase1_source_segment_selected_buffer_count
iwls2005__tv80,0.0585,0.0255,-0.033,0.011,0,-0.011,1,1,0,1.465,1.37,-0.095,0,0,0,1.74999,1.61129,-0.1387,0.882076,0.876223,-0.005853,1.08333,1.08016,-0.00317,9,8,-1,0,-1,-1,1,2,1,9,0,-9,19,0,-19,,0,,17,,,1,,,9.13,8.81,-0.32,22.64,28.5,5.86,0,0,0,0,0,0
iwls2005__usb_funct,0.083,0.1635,0.0805,0.038,0.039,0.001,1,2,1,1,2,1,0,0,0,1.47631,1.51569,0.03938,1.47853,1.48087,0.00234,1.19017,1.21474,0.02457,-7,-7,0,-1,-2,-1,2,4,2,4,4,0,16,15,-1,,1,,25,,,9,,,17.26,18.28,1.02,45.5,61.5,16,0,0,0,0,1,1
iwls2005__usb_phy,0.0345,0.0305,-0.004,-0.003,0.004,0.007,1,1,0,1,1,0,0,0,0,1.42081,1.49877,0.07796,0.933129,0.924893,-0.008236,1.01684,1.05724,0.0404,1,3,2,-2,-2,0,3,3,0,2,4,2,8,8,0,,1,,25,,,9,,,6.44,6.43,-0.01,10.39,11.16,0.77,0,0,0,0,0,0
iwls2005__vga_lcd,0.181,-0.0255,-0.2065,0.051,0.035,-0.016,3,1,-2,3,0,-3,0,0,0,1.60159,1.54352,-0.05807,0.888243,0.88718,-0.001063,1.00462,0.986941,-0.017679,265,65,-200,2,-4,-6,1,5,4,512,64,-448,1114,1524,410,,3,,18,,,2,,,7.83,7.96,0.13,29.59,36.77,7.18,0,0,0,2,0,-2
iwls2005__wb_conmax,0.0155,0.068,0.0525,0.053,0.062,0.009,1,1,0,0.935,1,0.065,1,0,-1,1.56475,1.58117,0.01642,0.907514,0.885257,-0.022257,1.03364,1.01262,-0.02102,26,6,-20,0,-3,-3,1,4,3,24,16,-8,54,55,1,,1,,17,,,1,,,9.01,9.95,0.94,29.53,36.28,6.75,1,1,0,0,1,1
iwls2005__wb_dma,0.0535,0.0425,-0.011,0.003,-0.004,-0.007,1,1,0,1,1,0,0,0,0,1.76902,1.6297,-0.13932,0.83625,0.828496,-0.007754,1.08773,1.05906,-0.02867,11,14,3,0,-2,-2,1,3,2,16,16,0,35,38,3,,1,,17,,,1,,,8.35,7.53,-0.82,22.09,16.47,-5.62,0,0,0,0,0,0
openroad__dynamic_node,0.132,0.1335,0.0015,0.018,0.01,-0.008,2,2,0,2,2,0,0,0,0,1.54524,1.56839,0.02315,0.885822,0.883455,-0.002367,1.04151,1.00742,-0.03409,59,55,-4,1,-3,-4,1,5,4,64,16,-48,169,230,61,,2,,20,,,4,,,7.94,8.26,0.32,31.54,28.49,-3.05,0,0,0,0,1,1
openroad__ethmac,0.0195,-0.028,-0.0475,0.033,0.04,0.007,1,0,-1,0,-0.025,-0.025,0,1,1,1.59581,1.57566,-0.02015,0.905719,0.901432,-0.004287,1.02199,1.01346,-0.00853,236,160,-76,2,-4,-6,-1,4,5,219,64,-155,447,969,522,,2,,20,,,4,,,7.73,7.73,0,47.04,39.84,-7.2,0,0,0,0,0,0
openroad__fifo,0.0715,0.086,0.0145,-0.021,0.008,0.029,1,1,0,1.26,0.32,-0.94,-1,0,1,1.76471,1.70147,-0.06324,0.851505,0.855325,0.00382,1.07038,1.04026,-0.03012,21,6,-15,0,-3,-3,1,4,3,32,16,-16,69,76,7,,2,,19,,,3,,,7.92,8.56,0.64,18.27,23.1,4.83,0,0,0,0,0,0
openroad__gcd,0.0515,0.0565,0.005,0.026,-0.002,-0.028,2,1,-1,1.77941,1,-0.77941,1,0,-1,1.64823,1.60841,-0.03982,1.07267,1.109,0.03633,1.19328,1.10924,-0.08404,2,1,-1,-1,-1,0,3,2,-1,1,1,0,3,3,0,,1,,,,,,,,7.77,9.3,1.53,14.92,13,-1.92,0,0,0,0,0,0
openroad__jpeg,0.037,0.14,0.103,0.016,0.021,0.005,1,3,2,0.175,2.265,2.09,1,1,0,1.58732,1.62353,0.03621,0.95443,0.957609,0.003179,1.04381,1.06906,0.02525,8,30,22,2,-3,-5,-1,6,7,53,64,11,108,384,276,,2,,18,,,2,,,9.71,10.29,0.58,57.66,37.74,-19.92,1,1,0,0,2,2
openroad__spi,0.0435,0.0435,0,0.005,0.005,0,1,1,0,1,1,0,0,0,0,1.50192,1.50192,0,0.992248,0.992248,0,1.06757,1.06757,0,1,1,0,-1,-1,0,2,2,0,1,1,0,2,2,0,,1,,,,,,,,6.91,6.91,0,8.56,8.56,0,0,0,0,0,0,0
openroad__uart,0.0635,0.055,-0.0085,-0.015,0.015,0.03,1,1,0,1.79618,1.31847,-0.47771,-1,0,1,1.86345,1.93541,0.07196,0.884639,0.888526,0.003887,1.09677,1.12903,0.03226,3,3,0,-2,-2,0,3,3,0,2,2,0,6,4,-2,,1,,20,,,4,,,7.79,7.44,-0.35,16.95,16.95,0,0,0,0,0,0,0
